BS, S:37858
-17.14,6.36
-13.91,6.01
-11.68,5.75
-10.24,5.99
-9.42,5.96
-10.05,6.27
-9.66,6.37
-11.04,6.54
-11.39,6.59
-12.33,6.42
-12.27,6.29
-11.9,6.11
-10.77,6.07
-9.59,5.99
-9.81,6.05
-9.11,6.12
-9.02,6.2
-9.1,6.12
-8.85,6.16
-9.69,6.16
-8.74,6.03
-8.54,6.13
-8.44,6.25
-8.23,6.19
-9.37,6.2
-8.51,6.16
-8.59,6.11
-8.01,6.01
-7.44,6.08
-7.54,6.08
-7.08,6.08
-6.95,6.07
-6.07,6.05
-5.99,5.96
-5.79,6.05
-5.63,6.04
-5.35,5.96
-4.34,5.84
-3.27,5.82
-2.55,6.1
-3.02,6.16
-4.05,6.39
-4.69,6.28
-5.26,6.27
-5.87,6.41
-6.34,6.22
-6.38,6.14
-6.06,6.04
-5.92,5.97
-5.24,5.95
-4.77,6.02
-4.26,6.01
-3.96,6
-4.01,6
-3.84,6.01
-3.86,6.08
-3.84,6
-3.7,6
-3.36,5.91
-3.19,5.91
-2.45,5.96
-1.88,5.89
-1.08,5.86
-0.3,5.84
-0.16,5.92
-0.05,5.92
0.01,5.84
0.28,5.67
0.99,5.57
1.4,5.41
1.89,5.31
BE,
BS, S:38007
2,5.31
7.79,5.43
29.42,6.67
50.22,9.98
70.33,18.4
85.62,22.02
48.11,24.95
38.2,26.66
27.48,27.13
27.33,27.22
22.52,26.77
18.56,26.08
17.43,24.89
23.24,25.04
35.86,25.65
48.47,31.22
54.24,35.74
29.11,33.24
22.66,33.81
26.22,31.15
19.94,29.81
12.67,29.1
14.09,27.58
15.56,26.42
24.48,26.48
37.47,27.17
45.68,28.75
35.08,30.17
21.69,29.92
17.07,29.2
27.48,30.63
30.32,30.79
24.41,30.13
19.76,28.96
16.86,28.56
16.9,28.31
16.71,28.45
15.54,28.69
12.79,28.62
10.57,28.57
7.83,28.49
6.56,28.32
5.81,28.22
5.24,28.2
4.77,28.11
4.25,28.12
4.28,28.12
3.75,28.2
3.32,28.2
2.6,28.04
2.52,27.88
-60.91,27.8
-91.2,24.38
-68.38,15.45
-22.84,7.89
-6.54,7.3
-6.58,8.48
-14.15,9.18
-22.77,9.5
-26.65,8.47
-23.52,7.2
-16.65,6.72
-11.54,6.98
-12.57,7.73
-15.38,6.99
-16.54,7.38
-19.66,7.58
-19.56,7.1
-18.4,6.72
-17.37,6.61
-15.34,6.45
-14.74,6.5
-14.11,6.35
-14.31,6.12
-11.44,5.85
-9.13,5.61
-6.89,5.87
-6.99,6.39
-10.55,7.14
-12.81,7.25
-15.42,6.9
-14.7,6.38
-14.29,6.19
-13.5,6.07
-11.37,6.01
-10.87,6.08
-9.84,6.06
-10.53,6.15
-9.79,6.16
-9.87,6.22
-9.7,6.22
-9.31,6.21
-10.53,6.17
-9.35,6.13
-9.01,6.12
-8.79,6.04
-8.15,6.02
-8.21,6.01
-7.68,6
-6.97,6.05
-6.37,6.05
-6.62,6.08
-6.16,6.05
-6.08,6.08
-5.73,6.04
-5.63,6.05
-6.23,6.06
-5.59,6.04
-5.57,6.02
-4.63,5.87
-3.78,5.83
-3.42,6.15
-3.83,6.27
-5.11,6.36
-6,6.41
-6.51,6.23
-6.36,6.08
-6,5.97
-5.62,5.95
-4.85,5.94
-4.58,6.01
-4.36,6.09
-4.41,6.09
-4.39,6.18
-4.71,6.19
-4.87,6.12
-4.65,6.1
-4.69,6.16
-4.66,6.1
-4.86,6.18
-4.65,6.03
-4.46,6.08
-4.44,6.02
-3.77,5.99
-3.6,5.91
-3.1,6.03
-3.69,6.3
-4.1,6.19
-4.31,6.1
-4.34,6.02
-3.47,5.84
-2.43,5.72
-1.36,5.69
-0.23,5.75
0.5,5.66
1.01,5.5
1.49,5.39
1.86,5.25
BE,
BS, S:38008
1.87,5.25
7.51,5.37
28.68,6.65
50.53,10
70.11,18.47
83.33,22.24
44.39,24.67
41.35,26.28
27.91,26.8
27.05,26.91
24.82,26.28
21.53,25.64
21.03,25.26
25.65,25.41
33.83,26
43.49,30.43
49.75,37.45
38.07,31.78
22.31,33.09
25.61,30.8
23.68,30.33
16.12,29.04
18.36,27.84
20.41,27.09
24.2,26.6
33.89,27.49
38.68,29.25
32.9,29.17
26.08,29.29
23.99,30.28
32.33,31.51
31.06,31.92
33.24,32.06
15.82,29.65
18.42,28.93
17.87,28.46
19.86,28.47
18.22,28.64
15.03,28.76
11.77,28.61
10.29,28.42
9.48,28.23
9.75,27.97
10.74,27.83
12.51,27.91
13.82,28.21
15.53,28.66
15.43,29.09
14.59,29.17
12.54,28.69
9.54,28.41
-69.97,28.08
-92.28,23.86
-66.32,15.12
-13.54,7.31
0.68,6.84
-3.5,9.22
-15.96,10.71
-29.16,10.47
-30.43,8.29
-24.97,7.57
-17.06,6.85
-15.41,6.45
-14.99,7.19
-17.58,7.84
-18.97,7.46
-18.18,6.7
-17.63,6.78
-17.16,6.74
-15.99,6.64
-18.1,6.92
-18.3,6.44
-17.82,6.13
-16.15,6.82
-17.08,6.67
-15.37,6
-13.45,6.29
-14.24,6.6
-14.93,6.68
-16.35,6.83
-16.07,6.49
-15.22,6.21
-13.71,6
-11.56,5.85
-10.86,5.9
-9.1,5.65
-6.17,5.44
-4.4,5.81
-4.09,5.86
-5.48,6.4
-6.11,6.27
-7.63,6.71
-8.34,6.39
-9.02,6.57
-10.26,6.54
-10.81,6.58
-11.24,6.35
-11.08,6.17
-10.25,6
-9.08,5.88
-8.09,5.93
-7.6,5.98
-7.32,5.99
-6.87,5.97
-6.3,6.05
-6.2,6.13
-6.38,6.16
-6.27,6.06
-5.91,6.04
-5.36,5.86
-5.3,6.22
-5.93,6.35
-5.61,5.74
-3.7,5.74
-2.23,5.72
-1.64,5.93
-3.2,6.61
-3.45,6.13
-4.37,6.61
-4.8,6.15
-6.63,6.71
-7.88,6.71
-8.61,6.44
-8.7,6.15
-7.69,6
-6.88,5.9
-5.65,5.94
-5.13,5.87
-4.52,5.97
-4.38,6.09
-4.33,6.09
-4.43,6.09
-4.3,6.01
-3.91,5.93
-3.91,6
-3.87,6.08
-3.82,6.08
-3.96,6.08
-3.96,6.08
-3.96,6.02
-3.77,5.99
-3.45,5.92
-3.12,5.9
-2.36,5.88
-1.37,5.78
-0.7,5.78
0.09,5.75
0.54,5.59
1.12,5.48
1.62,5.31
BE,
BS, S:38009
2.1,5.22
7.72,5.33
29.86,6.6
52.16,9.86
72.79,18.64
88.04,22.28
46.38,24.94
40.3,26.72
28.86,27.22
25.81,27.12
23.22,26.58
18.98,25.38
19.35,24.74
27.51,24.6
40.56,26.2
50.86,29.61
51.74,36.97
28.77,32.66
15.77,30.58
17.96,29.85
23.57,29.56
24.73,28.15
24.83,27.73
26.16,27.55
27.52,28.06
28.4,27.66
29.37,28.1
29.06,28.33
30.63,28.19
27.72,28.59
28.62,31.72
34.3,34.58
35.92,32.79
24.05,30.31
17.31,29.16
22.25,28.77
21.59,28.72
19.21,28.87
14.48,28.99
10.93,28.75
9.42,28.54
8.92,28.33
8.37,28.16
8.3,28.21
7.71,28.25
7.5,28.35
6.33,28.47
6.31,28.41
5.43,28.23
5.17,28.12
4.65,28.12
-65.06,28.04
-93.65,24.59
-72.33,16.06
-26.02,7.89
-2.66,7.29
-8,9.18
-17.94,10.56
-31.4,10.08
-29.42,8.25
-23.95,7.09
-19.76,7.25
-18.5,7.18
-19.07,7.72
-18.68,7.51
-18.9,7.03
-18.06,7.19
-16.58,6.83
-16.08,6.78
-16.16,6.47
-13.06,6.29
-14.61,7.02
-15.19,6.86
-18.95,7.43
-20.53,7.12
-19.58,6.53
-16.37,6.16
-10.29,5.09
-7.67,5.64
-7.15,6.17
-8.44,6.5
-11.71,6.83
-12.26,6.78
-13.63,6.44
-12.58,6.24
-11.31,6.13
-10.19,5.65
-9.09,6.07
-10.15,6.5
-10.89,6.42
-11.25,6.19
-11.08,6.02
-9.91,5.97
-9,5.95
-7.8,6
-8,6.01
-7.68,6.07
-7.71,6.08
-7.43,6.08
-7.26,6.08
-8.11,6.03
-6.93,6.07
-6.99,6.13
-6.68,6.1
-6.46,6.16
-7.45,6.16
-6.66,6.16
-6.93,6.08
-6.64,6.08
-6.14,6.05
-6.58,5.97
-5.2,5.94
-4.71,5.93
-4.69,6.01
-4.42,5.93
-3.97,5.91
-3.15,5.9
-2.39,5.88
-2.03,5.88
-1.67,5.87
-1.36,5.78
0.01,5.76
0.49,5.66
0.82,5.57
1.15,5.48
1.61,5.41
2.11,5.38
BE,
BS, S:38010
2.1,5.38
7.24,5.51
27.48,6.77
48.67,9.76
66.54,18.32
87.37,23.41
49.01,24.89
43.73,26.94
30.03,27.64
20.28,27.82
19.1,27.09
14.93,25.43
16.36,24.73
26.58,24.63
42.53,26.23
56.32,28.87
51.08,37.96
37.97,33.27
3.44,30.37
13.91,29.91
14.87,27.31
15.09,26.43
20.85,26.25
33.49,27.05
44.01,28.32
37.35,29.85
24.66,29.96
19.57,29.34
23.49,28.73
26.08,31.11
29.66,33.24
27.5,29.58
18.46,29.34
18.45,28.99
17.98,28.46
17,28.61
15.15,28.6
12.27,28.71
8.78,28.54
8.41,28.42
7.53,28.24
7.17,28.2
6.79,28.12
6.67,28.13
6.82,28.27
6.53,28.39
6.29,28.31
5.72,28.21
4.79,28.15
4.31,28.13
4.48,28.13
-63.84,28.01
-92.71,24.47
-71.93,16.08
-21.83,8.04
-1.4,7.74
-11.98,9.68
-20.64,10.7
-32.78,9.64
-31.67,8.22
-22.64,7.47
-17.4,6.89
-16.59,7.07
-15.94,6.78
-19.03,7.87
-20.19,7.36
-21.08,7.06
-21.07,6.92
-19.97,6.79
-17.86,6.71
-17.76,6.52
-14.34,6.26
-11.73,6.21
-12.26,6.66
-12.96,6.64
-13.44,6.53
-13.65,6.26
-13,6.47
-13.41,6.52
-12.88,6.32
-12.48,6.18
-12.73,6.13
-11.29,6.01
-10.17,5.98
-9.63,6.06
-9.57,6.14
-9.53,6.16
-10.71,6.24
-9.49,6.14
-9.6,6.22
-9.25,6.16
-9.24,6.12
-9.55,6.13
-8.63,6.03
-8.06,5.94
-7.74,5.93
-6.12,5.78
-4.66,5.92
-3.56,5.59
-2.73,6.16
-5.32,6.89
-6.9,6.85
-9.67,6.93
-10.79,6.43
-10.52,6.1
-9.19,5.96
-8.22,5.86
-6.88,5.89
-6.12,5.95
-5.61,5.95
-5.23,6.05
-5.26,6.11
-5.28,6.04
-4.79,5.87
-4.04,5.84
-3,5.73
-1.52,5.62
-0.15,5.51
1.03,5.4
1.91,5.22
BE,
BS, S:38011
2.05,5.17
7.92,5.28
30.06,6.54
52.17,9.65
70.55,18.67
90.52,23.11
43.61,25.06
44.22,26.88
32.85,27.02
22.57,27.79
19.09,27.38
14.75,25.57
14.84,24.35
24.82,24.15
42.06,25.82
58.02,27.95
49.18,36.14
23.69,38.72
-109.27,34.19
-78.72,22.12
-34.47,11
-1.7,6.45
-0.02,7.1
-1.04,8.08
-4.41,8.21
-6.27,7.42
-6.73,6.86
-5.55,6.57
-3.37,6.34
-1.57,6.28
-0.42,6.34
-0.35,6.63
-1.33,7.02
-4.13,7.32
-8.39,7.73
-12.29,7.75
-15.18,7.54
-16.34,7.14
-16.6,6.76
-14.97,6.47
-13.27,6.24
-11.96,6.11
-10,6.06
-9.07,6.12
-8.75,6.18
-8.27,6.18
-8.34,6.1
-7.29,6.01
-6.63,6.05
-6.22,5.97
-4.68,5.86
-3.67,5.83
-2.68,5.8
-1.73,5.8
-0.87,5.85
-0.57,5.85
-0.07,6.07
-0.79,6.38
-1.82,6.5
-3.27,6.5
-4.69,6.36
-5.2,6.21
-4.95,6.19
-4.93,6.1
-4.67,6.1
-4.73,6.17
-4.95,6.19
-5.1,6.3
-6.11,6.41
-6.72,6.31
-6.95,6.33
-7.38,6.33
-7.6,6.27
-7.65,6.25
-7.5,6.17
-7.16,6.08
-6.76,5.99
-6.07,6.18
-6.98,6.41
-6.88,6.32
-7.22,6.17
-7.33,6.08
-7,5.98
-6.37,5.97
-5.39,5.8
-4.43,5.85
-3.89,5.83
-3.31,5.97
-3.45,6.36
-3.97,6.06
-3.98,6.08
-4.16,6.24
-3.77,6.13
-3.85,6.14
-3.38,5.97
-3.52,6.16
-2.99,6.25
-3.8,6.08
-3.32,6
-4.19,6.56
-4.08,6.05
-4.56,6.12
-3.93,5.83
-3.06,5.82
-3.55,6.33
-3.42,6.07
-4.42,6.15
-3.82,5.99
-2.76,5.66
-1.41,5.9
-1.66,6.21
-2.59,6.47
-4.35,6.42
-4.45,6.18
-4.34,6.03
-4.24,6.08
-4.02,6
-3.61,5.99
-3.68,5.99
-3.46,5.99
-3.07,5.91
-3.03,5.89
-2.16,5.83
-1.36,5.78
-0.43,5.76
0.41,5.67
0.5,5.59
1.21,5.48
1.71,5.32
BE,
BS, S:38012
2.15,5.24
8.07,5.36
28.86,6.63
51.3,9.64
68.64,17.6
85.6,23.22
42.2,24.59
40.2,25.79
31.92,26.61
28.7,26.74
26.14,26.6
22.84,25.74
22.91,25.29
27.4,25.08
38.59,26.42
45.58,28.77
49.67,39.28
-66.86,37.22
-86.21,28.08
-51.17,15.48
-5,7.35
-0.28,5.6
1.45,5.73
2.78,5.91
3.68,5.96
3.55,5.85
3.44,5.8
BE,
BS, S:38013
3.46,5.8
7.06,5.88
26.7,7.08
47.22,10.4
66.06,17.21
71.86,20.58
47.66,25.2
36.95,26.07
23.72,26.71
21.13,27.12
19.65,27.03
15.44,26.81
12.9,26.35
11.16,26
12.52,26.23
15.85,26.7
18.96,27.65
19.2,31.31
23.68,30.86
8.66,28.85
7,28.44
9.01,28.17
10.42,28.09
9.55,28.24
7.74,28.25
7.66,28.15
6.78,28.05
7.41,27.87
7.88,27.86
7.85,27.84
8.94,27.86
10.69,28.02
11.84,28.13
12.57,28.23
13.62,28.32
13.76,28.29
13.09,28.39
13.1,28.38
11.9,28.34
10.42,28.27
10.25,28.16
9.98,28.15
9.64,28.07
10.2,28.15
9.79,28.24
8.88,28.32
7.89,28.33
6.78,28.34
5.49,28.26
5.24,28.16
5.38,28.15
-64.98,28.02
-92.67,24.56
-69.79,16.41
-19.69,10.33
-9.77,8.91
-18.24,9.42
-25.12,10.83
-24.81,10.76
-25.62,8.44
-23.87,7.54
-18.65,7.16
-17.96,7.25
-17.29,7.24
-19.12,7.25
-16.43,6.66
-15.48,6.75
-15.1,6.52
-13.17,6.54
-11.74,5.99
-9.74,5.87
-9.85,6.64
-9.74,6.62
-11.2,6.72
-10.66,6.14
-11.06,6.76
-12.24,6.72
-12.45,6.55
-11.99,6.26
-11.92,5.97
-9.03,5.63
-6.27,5.41
-3.43,5.78
-5.27,6.66
-6.58,6.63
-7.89,6.5
-9.95,6.65
-11.04,6.52
-11.1,6.28
-10.58,6.16
-9.84,6.06
-8.88,5.96
-8.2,5.93
-7.61,6
-7.48,6
-6.76,5.97
-6.49,6.28
-6.68,6.33
-7.32,6.33
-6.81,5.99
-6.04,5.97
-5.2,6.15
-6.45,6.47
-7.28,6.36
-7.71,6.2
-7.78,6.09
-7.44,5.86
-6.45,5.96
-5.62,5.97
-5.2,6.03
-5.22,6.1
-5.83,6.12
-5.06,6.02
-5.05,6.02
-5.37,6.08
-4.85,6.02
-4.76,6.03
-4.76,6.02
-4.35,6.01
-4.24,6.1
-4.48,6.17
-4.36,6.09
-4.31,6.16
-4.15,6.09
-4.36,6.09
-4.02,5.98
-3.83,6.07
-4.26,6.09
-3.82,6
-3.29,5.92
-3.33,5.92
-2.4,5.73
-0.87,5.54
0.84,5.42
1.57,5.33
BE,
BS, S:38014
2.1,5.22
8.18,5.32
30.94,6.5
53.27,9.59
73.44,18.72
92.09,22.62
44.28,24.81
41.05,26.39
29.61,27.06
27.93,27.07
23.67,26.8
19.95,25.58
20.34,24.61
27.52,25.21
40.34,26.32
48.09,29.78
51.53,36.28
34.32,31.94
12.86,29.95
20.19,29.22
22.65,28.54
21.72,27.65
22.7,27.23
26.3,27.33
31.19,27.73
32.09,28.52
29.68,28.94
25.22,29.45
24.2,30.37
23.94,30.74
18.76,30.66
15.4,29.57
10.57,29.08
10.53,28.69
9.36,28.65
8.08,28.61
6.28,28.6
5.06,28.43
3.96,28.32
3.61,28.29
2.21,28.47
-0.19,28.42
-1.37,28.31
-1.66,28.13
-1.84,27.97
-1.67,28.03
-1.61,28.03
-1.46,28.03
-1.57,27.95
-0.91,27.79
0.09,27.77
-62.03,27.72
-92.13,24.32
-73.65,16.07
-26.93,8.17
-5.13,7.16
-5.74,8.67
-13.84,9.56
-23.27,9.81
-26.19,8.34
-24.08,7.61
-19.81,7.2
-16.85,6.93
-15.47,6.81
-14.47,6.69
-12.29,6.06
-10.27,6.18
-11.95,6.94
-12.61,7.04
-12.42,6.18
-10.69,5.93
-9.77,6.23
-9.82,6.48
-11.61,6.59
-12.32,7.04
-13.28,6.89
-13.98,6.67
-14.16,6.45
-12.5,6.13
-11.93,6.12
-10.43,5.93
-9.01,6.1
-8.21,5.91
-6.4,5.65
-5.31,6.28
-7.98,7.06
-11.17,7.19
-12.38,6.85
-13.12,6.35
-12.02,6.04
-9.27,5.61
-8.52,5.89
-8.74,6.02
-8.29,6.1
-8.08,6.1
-8.04,6.03
-7.48,6.08
-6.65,6.07
-6.82,6.13
-7.06,6.08
-6.6,6.08
-6.34,6.12
-6.14,6.05
-5.78,5.97
-5.54,6.03
-5.94,6.05
-5.32,5.95
-4.64,6.01
-4.58,6.07
-4.25,6.01
-3.91,6
-3.72,5.98
-3.33,5.92
-2.81,5.82
-2.23,5.88
-1.6,5.87
-0.71,5.85
-0.11,5.67
0.59,5.65
0.91,5.57
1.15,5.58
1.16,5.57
1.6,5.41
1.96,5.33
BE,
BS, S:38015
2.08,5.33
7.78,5.41
30.1,6.52
54,9.65
74.78,19.05
94.23,23.07
50.47,25.12
47.1,27.35
28.61,27.99
22.69,27.56
21.07,26.51
18.82,24.95
21.56,24.29
32.88,25.02
48.58,26.73
56.46,32.59
54.29,36.85
17.71,32.33
16.72,30.77
15.46,29.04
15.15,27.41
14.83,26.93
18.36,27.31
23.3,28.04
22.73,28.7
17.72,28.8
13.09,28.77
11.26,28.57
10.13,28.44
8.72,28.26
8.57,28.31
7.93,28.38
7.33,28.29
6.27,28.3
5.07,28.38
2.53,28.4
1.24,28.31
0.59,28.3
-1.02,28.39
-2.26,28.32
-2.99,28.13
-3.01,27.96
-3.14,27.86
-2.5,27.78
-1.75,27.83
-0.84,27.88
0.54,27.88
1.96,27.92
3.47,27.93
5.25,27.93
7.3,27.91
-60.56,27.75
-90.02,24.1
-70.26,15.76
-22.41,8.17
-5.53,7.65
-10.49,9.45
-16.8,9.45
-21.9,8.12
-21.28,7.75
-16.78,7.09
-15,7.25
-14.79,6.64
-13.96,7.08
-13.1,7.03
-14.08,7.08
-14.08,6.95
-12.94,6.78
-13.33,6.51
-13.2,6.65
-12.22,6.27
-10.28,6.13
-7.86,5.6
-6.07,6.1
-6.86,6.76
-10.64,7.3
-12.58,6.93
-13.39,6.45
-12.76,6.24
-11.76,6.11
-11.17,6.09
-9.79,6.06
-9.46,5.9
-7.62,5.98
-7.48,6.18
-7.6,6.25
-6.7,5.82
-4.84,5.54
-4.63,6.47
-7.56,7.04
-10.5,6.95
-11.47,6.48
-11.1,6.12
-9.61,5.94
-8.25,5.71
-5.97,5.6
-3.85,5.88
-4.16,6.08
-4.42,6.18
-5.5,6.25
-5.14,6.02
-3.77,5.67
-3.92,6
-4.92,6.64
-5.82,6.49
-7.54,6.46
-6.6,5.9
-4.93,5.91
-5.3,6.18
-5.62,6.27
-6.08,5.98
-5.16,5.8
-2.59,5.47
-0.47,5.44
-2.08,6.77
-2.44,6.23
-4.85,6.88
-6.76,7.24
-9.14,6.39
-8.81,6.01
-7.75,6.03
-5.62,5.69
-2.64,5.29
0.01,5.39
-1.79,7.43
-5.15,6.93
-8.49,6.99
-8.84,6.29
-8.15,5.95
-6.42,5.88
-5.38,5.86
-3.94,5.82
-3.36,5.89
-2.4,5.95
-1.92,5.75
-0.73,5.67
-0.03,6.16
-3.13,6.56
-4.37,6.37
-6.3,6.77
-8.75,6.69
-8.39,5.85
-6.26,6.1
-5.67,5.82
-4.43,5.84
-3.05,5.81
-1.96,5.86
-1.84,5.96
-1.81,6.02
-3.21,6.38
-3.64,6.24
-4.54,6.17
-4.1,6
-3.6,5.92
-2.64,5.88
-2.78,6.04
-2.8,6.14
-3.33,6.3
-3.72,6.15
-4.12,6.06
-3.37,5.83
-1.85,5.55
0.18,5.5
0.99,5.54
1.19,5.79
-0.54,6.73
-2.09,6.84
-5.76,6.44
-6.31,6.09
-7.96,6.2
-6.24,5.84
-6.69,6.16
-3.94,5.64
-2.96,5.9
-3.27,7.39
-4.16,6.32
-3.14,5.81
-1.68,5.69
-0.69,6.24
-2.63,6.62
-3.46,6.16
-3.52,5.93
-2.65,5.67
-1.06,5.61
0.31,5.84
0.68,5.81
0.74,5.74
0.83,5.87
0.01,6.18
-0.47,6.19
-0.36,6.01
0.2,5.84
0.55,5.68
1.03,5.49
1.8,5.31
BE,
BS, S:38016
2.08,5.3
7.65,5.44
27.06,6.77
48.12,9.95
62,18.23
78.83,23.83
32.03,25.83
27.29,27.61
16.55,27.19
21.22,26.66
17.07,26.65
14.62,24.16
21.01,23.61
40.34,24.66
60.82,27.19
65.98,35.43
39.2,36.62
24.23,37.88
22.96,32.83
6.83,30.36
12.06,28.37
11.92,27.02
15.44,27.16
21.42,28.06
17.46,29.43
7.64,29.88
-5.03,30.23
-14.79,30.28
-9.59,29.11
-4.15,29.75
-5.56,31.08
-5.8,29.8
-8.29,30.02
-11.22,30.14
-11.07,30.02
-15.96,30.66
-10.65,30.64
-5.75,30.21
-5.2,29.41
-4.23,28.85
-2.08,28.7
-3.6,29.01
-7.37,29.87
-6.88,29.28
-3.79,28.69
-5.24,29.28
-3.35,28.62
-2.12,28.44
-1.88,28.32
-2.95,29.6
-4.58,28.7
-75.11,28.67
-92.88,24.64
-53.16,14.97
-4.64,7.44
2.95,6.71
2.94,6.77
2.25,8.23
0.2,9.51
-2,8.98
-9.24,8.13
-10.89,7.66
-12.35,7.16
-10.22,6.33
-8.4,6.82
-4.82,6.14
-2.14,6.04
-0.18,6.08
-0.1,7.17
-2.63,7.35
-6.73,7.2
-7.02,6.36
-5.83,6.06
-5.98,6.14
-3.95,6.31
-4.82,6.12
-5.29,6.13
-4.38,6.03
-3.24,5.92
-2.83,5.99
-2.22,6.03
-1.97,6.04
-1.92,6.04
-1.79,6.07
-1.6,5.97
-1.58,6.03
-1.51,6.03
-1.31,6.02
-1.14,6.03
-1.09,5.99
-0.79,5.94
0,5.84
0.6,5.68
1.01,5.57
1.58,5.32
BE,
BS, S:38017
2.26,5.24
7.72,5.34
29.85,6.58
52.32,9.56
67.88,17.25
78.66,26.59
21.61,27.73
2.72,28.08
1.41,27.42
11.33,25.52
9.75,25.35
10.37,25.92
9.84,26.21
11.28,25.99
17.77,26.19
22.68,27.9
20.74,27.6
23.81,32.96
37.16,31.06
7.89,30.04
8.56,29.12
16.14,28.09
22.91,27.67
23.76,28.78
17.6,28.58
12.48,29.39
8.71,27.1
13.44,26.28
19.71,27.18
30.36,28.04
36.97,29.33
34.61,32.89
33.74,35.26
8.74,31.7
10.39,31.16
15.24,29.42
18.93,28.01
19.2,28.14
18.51,28.41
14.98,28.61
12.56,28.72
8.76,28.83
4.36,28.84
1.41,28.76
-1.33,28.74
-3.89,28.66
-4.41,28.64
-4.92,28.81
-6.23,28.99
-7.64,29.04
-8.23,29.11
-78.9,29.12
-101.44,25.36
-68.42,15.75
-9.64,7.33
1.74,6.98
0.61,8.47
-10.89,11.14
-25.23,10.52
-32.05,8.91
-25.06,7.34
-14.2,6.3
-8.11,5.59
-3.78,5.48
-1.39,6.95
-6.76,8.23
-12.15,7.64
-14.1,6.99
-12.74,6.32
-9.77,5.46
-6.13,5.5
-4.97,6.62
-4.36,6.02
-3.56,5.91
-4.03,7.14
-8.8,7.51
-9.11,6.22
-7.79,5.67
-4.83,6.1
-5.92,6.88
-5.16,6.07
-6.71,6.62
-6.92,6.44
-7.22,6.25
-6.44,5.86
-4.65,5.61
-3.37,5.91
-2.94,6.05
-2.89,5.91
-1.98,5.64
-0.12,5.66
0.46,5.81
0.43,6.06
-0.49,6.48
-2.92,6.76
-4.37,6.26
-4.39,6.02
-5.67,7.41
-7.85,6.44
-6.71,5.78
-3.76,5.42
-1.26,5.58
-0.68,6.51
-3.73,6.76
-5.09,6.24
-6.43,6.82
-4.81,5.85
-4.67,7.2
-6.68,7.27
-9.18,6.5
-8.26,5.87
-5.8,5.56
-2.97,5.48
-0.98,5.67
-0.31,5.91
-0.46,6.16
-1.26,6.46
-2.84,6.58
-4.79,6.45
-5.33,6.26
-5.01,6.04
-4.86,5.94
-4.01,5.92
-3.07,5.9
-3.11,5.99
-3.01,6.07
-3.22,6.15
-3.55,6.24
-4,6.24
-4.14,6.09
-4,6
-3.61,6
-3.23,5.99
-3.19,5.84
-2.48,6.03
-2.54,6.01
-2.62,5.98
-2.77,6.16
-2.82,6.05
-2.88,6.05
-2.77,5.99
-2.58,5.96
-2.49,5.96
-1.88,5.96
-1.43,5.98
-1.33,6.03
-1.38,6.1
-1.43,6.11
-1.41,6.11
-1.25,6.07
-1.35,6.03
-1.27,5.94
-0.51,5.93
-0.18,5.77
0.42,5.6
1.15,5.38
1.89,5.22
BE,
BS, S:38018
2.08,5.15
8.3,5.25
31.78,6.45
54.07,10.05
76.71,20.21
86.91,23.91
30.45,26.05
19.8,27.91
13.41,27.73
13.6,26.73
11.48,25.47
9.72,23.91
16.85,23.44
34.91,24.6
52.44,27.93
38.55,34.65
37.93,36.72
-1.21,31.36
5.1,30.19
9.22,27.58
7.63,26.8
14.95,25.15
32.27,25.97
52.9,28.47
47.09,33.38
33.4,34.42
8.81,31.85
10.03,30.12
16.61,27.73
18.76,27.39
25.57,27.3
33.97,28.2
34.1,29.97
31.12,30.88
21.53,30.17
18.77,29.73
22.74,28.45
25.1,27.33
28.23,27.92
31.75,28.29
29.8,29.65
25.89,29.75
21.08,30.55
15.43,31.68
10.49,30.5
2.13,29.83
0.47,29.4
-1.19,29.29
-5.02,29.26
-6.98,29.14
-5.77,29
-77.13,29.04
-103.03,25.61
-67.01,15.82
-14.87,8.02
-1.61,7.51
-4.71,8.82
-17.52,11.6
-26.23,10.35
-30.2,8.47
-21.32,7.49
-18.79,7.52
-17.13,7.84
-17.92,7.67
-19.27,6.98
-16.33,6.51
-13.09,6.09
-11.68,6.18
-10.44,6.16
-8.65,6.26
-9.41,6.45
-9.44,6.53
-9.62,6.24
-8.55,5.84
-6.07,5.32
-1.16,5.18
-0.09,5.66
-0.58,7.03
-4.33,6.76
-6.09,6.39
-8.65,7.77
-8.16,6.39
-6.08,5.65
-5.53,6.75
-8.38,6.41
-8.1,5.98
-5.62,5.48
-5.34,6.93
-9.8,8.1
-14.01,6.85
-12.2,5.54
-8.2,6.17
-8.05,6.64
-8.81,7.13
-11.31,6.83
-10.38,6
-8.4,5.77
-5.52,5.27
-2.8,5.48
-0.24,5.33
0.82,5.63
-1.59,6.12
-3.11,6.22
-3.83,6.1
-3.43,5.91
-4.46,6.45
-7,6.85
-10.49,6.43
-10.34,6.23
-7.65,5.7
-4.05,5.24
-0.41,5.24
-0.54,6.23
-4.1,7.04
-7.11,6.66
-7.64,6.19
-6.63,5.82
-4.92,5.7
-2.81,5.72
-2.25,5.83
-2.28,6.2
-3.05,6.33
-3.83,6.33
-4.56,6.2
-4.43,6.18
-4.46,6.09
-4.07,6.01
-4.16,6
-3.54,5.99
-3.12,5.99
-2.94,5.98
-3.04,6
-2.93,6.06
